fecha	rondas	tirosRonda	cuantil	tirosFinal	tiros_total	tasa_eleccion_correcta	ganancia
20220522 133512	1	74	0.814855245737891	225	11675	0.9062	0.9062
20220522 133521	2	72	0.73734589558853	560	13064	0.9016	0.9016
20220522 133531	32	36	0.643458121024465	873	-1	0	0
20220522 133634	46	28	0.188435047701197	953	-1	0	0
20220522 133707	1	85	0.743362971310371	355	17730	0.9726	0.8544
20220522 133717	2	88	0.738223682842766	418	14014	0.9346	0.9346
20220522 133723	2	133	0.391648963405398	286	31995	0.9674	0.7541
20220522 133724	34	24	0.624510018624851	735	-1	0	0
20220522 133809	7	109	0.380390147883429	994	30341	0.9614	0.759126666666667
20220522 133852	2	18	0.873870421940146	496	3026	0.2196	0.2196
20220522 133857	1	85	0.806233455920488	337	15240	0.956	0.8544
20220522 133858	1	101	0.729460501771523	345	19415	0.976	0.846566666666667
20220522 133900	1	154	0.851102509917296	845	28075	0.993	0.805833333333333
20220522 133913	2	167	0.641579813848754	634	30954	0.9974	0.79104
20220522 134002	2	92	0.74208698577696	511	15169	0.94	0.838873333333333
20220522 134050	5	165	0.285865744663606	428	54069	0.9956	0.63514
20220522 134052	13	155	0.515569560210236	933	-1	0	0
20220522 134107	41	6	0.129050597609422	501	-1	0	0
20220522 134120	27	50	0.311046895947716	857	-1	0	0
20220522 134208	2	123	0.620536786163669	802	29004	0.9928	0.79944
20220522 134209	1	5	0.100152518833153	1000	90500	0.9512	0.347866666666667
20220522 134214	11	38	0.674421094897294	586	-1	0	0
20220522 134217	4	107	0.765461707460516	79	14203	8e-04	8e-04
20220522 134317	23	115	0.315037266187498	424	-1	0	0
20220522 134357	2	107	0.795386058859915	405	14972	0.9398	0.9398
20220522 134440	10	74	0.529527506915881	376	-1	0	0
20220522 134442	15	80	0.527800363467259	237	-1	0	0
20220522 134453	48	56	0.436043804034543	717	-1	0	0
20220522 134512	12	82	0.33944628511314	113	-1	0	0
20220522 134549	10	17	0.684246861134876	151	-1	0	0
20220522 134555	20	15	0.579530088350341	894	-1	0	0
20220522 134637	8	111	0.522455433420441	224	-1	0	0
20220522 134729	19	63	0.235610884616306	329	-1	0	0
20220522 134729	18	128	0.261213785888818	338	-1	0	0
20220522 134805	1	78	0.789560437119489	267	13407	0.936	0.936
20220522 134816	2	65	0.714980605775734	609	13257	0.8932	0.8932
20220522 134828	31	51	0.730722065426733	169	-1	0	0
20220522 134900	6	56	0.290725981008216	873	28037	0.9548	0.767886666666667
20220522 134942	14	29	0.197123040809425	993	16522	0.259	0.148853333333333
20220522 135016	50	5	0.713575877844949	407	-1	0	0
20220522 135017	1	34	0.795827322753012	385	11485	0.7808	0.7808
20220522 135020	1	83	0.815285476793162	327	14513	0.949	0.949
20220522 135120	15	40	0.348360214358318	953	-1	0	0
20220522 135144	8	146	0.100478408208003	174	88720	0.8426	0.251133333333333
20220522 135214	35	9	0.756843221899352	597	-1	0	0
20220522 135215	1	62	0.899962467069131	175	7950	0.7568	0.7568
20220522 135224	13	10	0.569276505237611	634	-1	0	0
20220522 135313	8	97	0.480586062233779	758	-1	0	0
20220522 135400	12	161	0.230165747937173	385	66360	0.9802	0.5378
20220522 135431	19	16	0.714472103124122	432	-1	0	0
20220522 135433	2	30	0.623828278363748	325	8690	0.756	0.756
20220522 135443	6	22	0.596517479439224	249	-1	0	0
20220522 135444	8	81	0.817140319194548	225	-1	0	0
20220522 135511	45	44	0.444920230897006	920	-1	0	0
20220522 135553	1	116	0.186206781211116	273	33713	0.952	0.727246666666667
20220522 135602	2	178	0.559920621883564	270	30762	0.9696	0.76452
20220522 135603	31	35	0.693537788946608	69	-1	0	0
20220522 135609	12	157	0.839099958120098	268	-1	0	0
20220522 135644	41	23	0.268600961985486	879	-1	0	0
20220522 135729	29	41	0.788593207507029	252	-1	0	0
20220522 135730	2	83	0.678476836446944	933	20286	0.9532	0.81796
20220522 135737	18	80	0.801998831965636	109	-1	0	0
20220522 135811	22	78	0.479199433377544	634	-1	0	0
20220522 135832	10	36	0.244517190608097	193	14177	0.7636	0.7636
20220522 135915	27	25	0.64327904417581	554	-1	0	0
20220522 135920	3	82	0.656909922461092	125	12472	0.8614	0.8614
20220522 135920	24	34	0.649485141739616	481	-1	0	0
20220522 135933	4	150	0.559420155366741	79	25966	0	-0.173106666666667
20220522 140056	16	41	0.151007678887806	366	25118	0.6538	0.486346666666667
20220522 140140	1	132	0.561157505410551	493	34892	0.9972	0.764586666666667
20220522 140201	3	157	0.805835616976842	301	19769	0.9296	0.797806666666667
20220522 140228	32	41	0.471300771092847	95	-1	0	0
20220522 140255	12	43	0.3156163861156	245	-1	0	0
20220522 140428	29	41	0.108906727664312	878	-1	0	0
20220522 140531	21	48	0.874684548092071	208	-1	0	0
20220522 140603	6	90	0.7235188862826	665	-1	0	0
