timestamp, cp, minsplit, minbucket, maxdepth, ganancia_promedio
2022-05-14 20:55:21, -0.5, 1000, 50, 3, 9323333.33333333
2022-05-14 20:55:31, -0.5, 1000, 50, 5, 9921333.33333333
2022-05-14 20:55:44, -0.5, 1000, 50, 7, 9507333.33333333
2022-05-14 20:56:00, -0.5, 1000, 50, 9, 8825333.33333333
2022-05-14 20:56:18, -0.5, 1000, 50, 11, 8560000
2022-05-14 20:56:37, -0.5, 1000, 50, 13, 8446666.66666667
2022-05-14 20:56:45, -0.5, 1000, 10, 3, 9196666.66666667
2022-05-14 20:56:55, -0.5, 1000, 10, 5, 9585333.33333333
2022-05-14 20:57:08, -0.5, 1000, 10, 7, 9491333.33333333
2022-05-14 20:57:23, -0.5, 1000, 10, 9, 8879333.33333333
2022-05-14 20:57:40, -0.5, 1000, 10, 11, 8509333.33333333
2022-05-14 20:58:02, -0.5, 1000, 10, 13, 8420000
2022-05-14 20:58:08, -0.5, 500, 200, 3, 9321333.33333333
2022-05-14 20:58:17, -0.5, 500, 200, 5, 9928666.66666667
2022-05-14 20:58:29, -0.5, 500, 200, 7, 9148666.66666667
2022-05-14 20:58:43, -0.5, 500, 200, 9, 9079333.33333333
2022-05-14 20:58:57, -0.5, 500, 200, 11, 8560666.66666667
2022-05-14 20:59:12, -0.5, 500, 200, 13, 8560666.66666667
2022-05-14 20:59:18, -0.5, 500, 100, 3, 9323333.33333333
2022-05-14 20:59:26, -0.5, 500, 100, 5, 10004666.6666667
2022-05-14 20:59:36, -0.5, 500, 100, 7, 9390000
2022-05-14 20:59:49, -0.5, 500, 100, 9, 8490000
2022-05-14 21:00:03, -0.5, 500, 100, 11, 7960000
2022-05-14 21:00:19, -0.5, 500, 100, 13, 7703333.33333333
2022-05-14 21:00:24, -0.5, 500, 50, 3, 9323333.33333333
2022-05-14 21:00:33, -0.5, 500, 50, 5, 9739333.33333333
2022-05-14 21:00:43, -0.5, 500, 50, 7, 9242666.66666667
2022-05-14 21:00:56, -0.5, 500, 50, 9, 8189333.33333333
2022-05-14 21:01:11, -0.5, 500, 50, 11, 7662000
2022-05-14 21:01:27, -0.5, 500, 50, 13, 7372666.66666667
2022-05-14 21:01:33, -0.5, 500, 10, 3, 9196666.66666667
2022-05-14 21:01:41, -0.5, 500, 10, 5, 9478000
2022-05-14 21:01:51, -0.5, 500, 10, 7, 9480000
2022-05-14 21:02:04, -0.5, 500, 10, 9, 8670000
2022-05-14 21:02:19, -0.5, 500, 10, 11, 8301333.33333333
2022-05-14 21:02:36, -0.5, 500, 10, 13, 7874666.66666667
2022-05-14 21:02:42, -0.5, 200, 100, 3, 9323333.33333333
2022-05-14 21:02:51, -0.5, 200, 100, 5, 10126666.6666667
2022-05-14 21:03:01, -0.5, 200, 100, 7, 9444666.66666667
2022-05-14 21:03:14, -0.5, 200, 100, 9, 8792000
2022-05-14 21:03:28, -0.5, 200, 100, 11, 8070000
2022-05-14 21:03:44, -0.5, 200, 100, 13, 7398000
2022-05-14 21:03:50, -0.5, 200, 50, 3, 9323333.33333333
2022-05-14 21:03:58, -0.5, 200, 50, 5, 9768666.66666667
2022-05-14 21:04:08, -0.5, 200, 50, 7, 9278666.66666667
2022-05-14 21:04:22, -0.5, 200, 50, 9, 8289333.33333333
2022-05-14 21:04:37, -0.5, 200, 50, 11, 7104000
2022-05-14 21:04:53, -0.5, 200, 50, 13, 5941333.33333333
2022-05-14 21:04:59, -0.5, 200, 10, 3, 9196666.66666667
2022-05-14 21:05:07, -0.5, 200, 10, 5, 9478000
2022-05-14 21:05:18, -0.5, 200, 10, 7, 9414000
2022-05-14 21:05:30, -0.5, 200, 10, 9, 8642000
2022-05-14 21:05:45, -0.5, 200, 10, 11, 7339333.33333333
2022-05-14 21:06:03, -0.5, 200, 10, 13, 7244000
2022-05-14 21:06:14, -0.5, 100, 50, 3, 9323333.33333333
2022-05-14 21:06:23, -0.5, 100, 50, 5, 9868666.66666667
2022-05-14 21:06:35, -0.5, 100, 50, 7, 9213333.33333333
2022-05-14 21:06:50, -0.5, 100, 50, 9, 7550000
2022-05-14 21:07:06, -0.5, 100, 50, 11, 5932000
2022-05-14 21:07:24, -0.5, 100, 50, 13, 4363333.33333333
2022-05-14 21:07:30, -0.5, 100, 10, 3, 9196666.66666667
2022-05-14 21:07:40, -0.5, 100, 10, 5, 9530666.66666667
2022-05-14 21:07:52, -0.5, 100, 10, 7, 9564666.66666667
2022-05-14 21:08:10, -0.5, 100, 10, 9, 8752000
2022-05-14 21:08:35, -0.5, 100, 10, 11, 7482000
2022-05-14 21:09:00, -0.5, 100, 10, 13, 7012666.66666667
2022-05-14 21:09:07, -0.5, 50, 10, 3, 9196666.66666667
2022-05-14 21:09:18, -0.5, 50, 10, 5, 9545333.33333333
2022-05-14 21:09:31, -0.5, 50, 10, 7, 9636666.66666667
2022-05-14 21:09:47, -0.5, 50, 10, 9, 8776000
2022-05-14 21:10:03, -0.5, 50, 10, 11, 7581333.33333333
2022-05-14 21:10:22, -0.5, 50, 10, 13, 7052666.66666667
2022-05-15 01:50:12, -0.1, 3000, 700, 3, 9472666.66666667
2022-05-15 01:50:23, -0.1, 3000, 700, 4, 9748000
2022-05-15 01:50:34, -0.1, 3000, 700, 5, 10017333.3333333
2022-05-15 01:50:46, -0.1, 3000, 700, 6, 10017333.3333333
2022-05-15 01:50:59, -0.1, 3000, 700, 7, 10017333.3333333
2022-05-15 01:51:14, -0.1, 3000, 700, 8, 10017333.3333333
2022-05-15 01:51:28, -0.1, 3000, 700, 9, 10017333.3333333
2022-05-15 01:51:43, -0.1, 3000, 700, 10, 10017333.3333333
2022-05-15 01:51:53, -0.1, 3000, 500, 3, 9472666.66666667
2022-05-15 01:52:19, -0.1, 3000, 500, 4, 9822000
2022-05-15 01:53:02, -0.1, 3000, 500, 5, 10082666.6666667
2022-05-15 01:53:15, -0.1, 3000, 500, 6, 10060666.6666667
2022-05-15 01:53:27, -0.1, 3000, 500, 7, 10060666.6666667
2022-05-15 01:53:41, -0.1, 3000, 500, 8, 10060666.6666667
2022-05-15 01:53:55, -0.1, 3000, 500, 9, 10060666.6666667
2022-05-15 01:54:09, -0.1, 3000, 500, 10, 10060666.6666667
2022-05-15 01:54:18, -0.1, 3000, 200, 3, 9321333.33333333
2022-05-15 01:54:28, -0.1, 3000, 200, 4, 9767333.33333333
2022-05-15 01:54:40, -0.1, 3000, 200, 5, 9935333.33333333
2022-05-15 01:54:56, -0.1, 3000, 200, 6, 9829333.33333333
2022-05-15 01:55:12, -0.1, 3000, 200, 7, 9728000
2022-05-15 01:55:29, -0.1, 3000, 200, 8, 9728000
2022-05-15 01:55:46, -0.1, 3000, 200, 9, 9728000
2022-05-15 01:56:02, -0.1, 3000, 200, 10, 9728000
2022-05-15 01:56:10, -0.1, 3000, 120, 3, 9323333.33333333
2022-05-15 01:56:20, -0.1, 3000, 120, 4, 9765333.33333333
